"ActualValue","Commandlet","Control","Criticality","ReportDetails","Requirement","RequirementMet"
"[{""value"":[{""domain"":""tqhjy.onmicrosoft.com"",""log"":[""@{query_method=traditional; query_name=selector1._domainkey.tqhjy.onmicrosoft.com; query_result=Query returned NXDomain}"",""@{query_method=DoH; query_name=selector1._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=DoH; query_name=selector1._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=traditional; query_name=selector2._domainkey.tqhjy.onmicrosoft.com; query_result=Query returned NXDomain}"",""@{query_method=DoH; query_name=selector2._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=DoH; query_name=selector2._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=traditional; query_name=selector1-tqhjy-onmicrosoft-com._domainkey.tqhjy.onmicrosoft.com; query_result=Query returned NXDomain}"",""@{query_method=DoH; query_name=selector1-tqhjy-onmicrosoft-com._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=DoH; query_name=selector1-tqhjy-onmicrosoft-com._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=traditional; query_name=selector2-tqhjy-onmicrosoft-com._domainkey.tqhjy.onmicrosoft.com; query_result=Query returned NXDomain}"",""@{query_method=DoH; query_name=selector2-tqhjy-onmicrosoft-com._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=DoH; query_name=selector2-tqhjy-onmicrosoft-com._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}""],""rdata"":[]}],""Count"":1},{""value"":[null],""Count"":1}]","Get-DkimSigningConfig, Get-ScubaDkimRecords, Get-AcceptedDomain","EXO 2.3","Should","Requirement met","DKIM SHOULD be enabled for any custom domain","True"
"{""AddressBookPolicyRoutingEnabled"":false,""AdminDisplayName"":"""",""AgentGeneratedMessageLoopDetectionInSmtpEnabled"":true,""AgentGeneratedMessageLoopDetectionInSubmissionEnabled"":true,""AllowLegacyTLSClients"":false,""AnonymousSenderToRecipientRatePerHour"":1800,""AttributionRejectBeforeMServRequest"":false,""AttributionRejectConsumerMessages"":false,""ClearCategories"":true,""ConvertDisclaimerWrapperToEml"":false,""ConvertReportToMessage"":false,""CurrentTransportSystemState"":""Green"",""DSNConversionMode"":""PreserveDSNBody"",""DiagnosticsAggregationServicePort"":9710,""DistinguishedName"":""CN=Transport Settings,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""EnableExternalHTTPMailDelivery"":false,""ExchangeObjectId"":""b4f29764-fa61-4718-ac8d-29e1ad3007b9"",""ExchangeVersion"":""0.1 (8.0.535.0)"",""ExternalDelayDsnEnabled"":true,""ExternalDsnDefaultLanguage"":null,""ExternalDsnLanguageDetectionEnabled"":true,""ExternalDsnMaxMessageAttachSize"":""10 MB (10,485,760 bytes)"",""ExternalDsnReportingAuthority"":null,""ExternalDsnSendHtml"":true,""ExternalPostmasterAddress"":null,""GenerateCopyOfDSNFor"":[],""Guid"":""b4f29764-fa61-4718-ac8d-29e1ad3007b9"",""HeaderPromotionModeSetting"":""NoCreate"",""HygieneSuite"":""Premium"",""Id"":""Transport Settings"",""Identity"":""Transport Settings"",""InternalDelayDsnEnabled"":true,""InternalDsnDefaultLanguage"":null,""InternalDsnLanguageDetectionEnabled"":true,""InternalDsnMaxMessageAttachSize"":""10 MB (10,485,760 bytes)"",""InternalDsnReportingAuthority"":null,""InternalDsnSendHtml"":true,""InternalSMTPServers"":[],""IsValid"":true,""JournalArchivingEnabled"":false,""JournalMessageExpirationDays"":0,""JournalReportDLMemberSubstitutionEnabled"":false,""JournalingReportNdrTo"":""u003cu003e"",""LegacyArchiveJournalingEnabled"":false,""LegacyArchiveLiveJournalingEnabled"":false,""LegacyJournalingMigrationEnabled"":false,""MaxAllowedAgentGeneratedMessageDepth"":3,""MaxAllowedAgentGeneratedMessageDepthPerAgent"":2,""MaxDumpsterSizePerDatabase"":""18 MB (18,874,368 bytes)"",""MaxDumpsterTime"":""7.00:00:00"",""MaxReceiveSize"":""Unlimited"",""MaxRecipientEnvelopeLimit"":""Unlimited"",""MaxSendSize"":""Unlimited"",""MessageExpiration"":""1.00:00:00"",""MigrationEnabled"":true,""Name"":""Transport Settings"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Transport-Settings"",""ObjectClass"":[""top"",""container"",""msExchTransportSettings""],""ObjectState"":""Unchanged"",""OpenDomainRoutingEnabled"":false,""OrganizationFederatedMailbox"":""FederatedEmail.4c1f4d8b-8179-4148-93bf-00a95fa1e042@tqhjy.onmicrosoft.com"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""OtherWellKnownObjects"":[],""PreserveReportBodypart"":true,""QueueDiagnosticsAggregationInterval"":""00:01:00"",""RedirectDLMessagesForLegacyArchiveJournaling"":false,""RedirectUnprovisionedUserMessagesForLegacyArchiveJournaling"":false,""ReplyAllStormBlockDurationHours"":6,""ReplyAllStormDetectionMinimumRecipients"":2500,""ReplyAllStormDetectionMinimumReplies"":10,""ReplyAllStormProtectionEnabled"":true,""Rfc2231EncodingEnabled"":false,""SafetyNetHoldTime"":""7.00:00:00"",""SmtpClientAuthenticationDisabled"":true,""SupervisionTags"":[""Reject"",""Allow""],""TLSReceiveDomainSecureList"":[],""TLSSendDomainSecureList"":[],""TransportRuleAttachmentTextScanLimit"":""1 MB (1,048,576 bytes)"",""TransportRuleCollectionAddedRecipientsLimit"":100,""TransportRuleCollectionRegexCharsLimit"":""20 KB (20,480 bytes)"",""TransportRuleConfig"":[""TransportRuleMinProductVersion:14.0.0.0"",""TransportRuleRegexValidationTimeout:00:00:00.3000000"",""TransportRuleAttachmentTextScanLimit:1 MB (1,048,576 bytes)"",""TransportRuleSizeLimit:8 KB (8,192 bytes)"",""TransportRuleCollectionRegexCharsLimit:20 KB (20,480 bytes)"",""TransportRuleLimit:300"",""TransportRuleCollectionAddedRecipientsLimit:100""],""TransportRuleLimit"":300,""TransportRuleMinProductVersion"":{""Build"":0,""Major"":14,""MajorRevision"":0,""Minor"":0,""MinorRevision"":0,""Revision"":0},""TransportRuleRegexValidationTimeout"":""00:00:00.3000000"",""TransportRuleSizeLimit"":""8 KB (8,192 bytes)"",""TransportSystemState"":"""",""VerifySecureSubmitEnabled"":false,""VoicemailJournalingEnabled"":true,""WhenChanged"":""/Date(1643184488000)/"",""WhenChangedUTC"":""/Date(1643184488000)/"",""WhenCreated"":""/Date(1643059670000)/"",""WhenCreatedUTC"":""/Date(1643059670000)/"",""Xexch50Enabled"":true}","Get-TransportConfig","EXO 2.5","Shall","Requirement met","SMTP AUTH SHALL be disabled in Exchange Online","True"
"{""AdminDisplayName"":"""",""Default"":true,""DistinguishedName"":""CN=Default Sharing Policy,CN=Federation,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""Domains"":[""Anonymous:CalendarSharingFreeBusyReviewer"",""*:CalendarSharingFreeBusySimple""],""Enabled"":true,""ExchangeObjectId"":""2f1ca8cf-5ba5-45e3-b73a-1405ff552a2e"",""ExchangeVersion"":""0.10 (14.0.100.0)"",""Guid"":""2f1ca8cf-5ba5-45e3-b73a-1405ff552a2e"",""Id"":""Default Sharing Policy"",""Identity"":""Default Sharing Policy"",""IsValid"":true,""Name"":""Default Sharing Policy"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Sharing-Policy"",""ObjectClass"":[""top"",""msExchSharingPolicy""],""ObjectState"":""Changed"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""WhenChanged"":""/Date(1645650766000)/"",""WhenChangedUTC"":""/Date(1645650766000)/"",""WhenCreated"":""/Date(1645650752000)/"",""WhenCreatedUTC"":""/Date(1645650752000)/""}","Get-SharingPolicy","EXO 2.6","Shall","Requirement met","Calendar details SHALL NOT be shared with all domains, although they MAY be shared with specific domains","True"
"{""AdminDisplayName"":"""",""Default"":true,""DistinguishedName"":""CN=Default Sharing Policy,CN=Federation,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""Domains"":[""Anonymous:CalendarSharingFreeBusyReviewer"",""*:CalendarSharingFreeBusySimple""],""Enabled"":true,""ExchangeObjectId"":""2f1ca8cf-5ba5-45e3-b73a-1405ff552a2e"",""ExchangeVersion"":""0.10 (14.0.100.0)"",""Guid"":""2f1ca8cf-5ba5-45e3-b73a-1405ff552a2e"",""Id"":""Default Sharing Policy"",""Identity"":""Default Sharing Policy"",""IsValid"":true,""Name"":""Default Sharing Policy"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Sharing-Policy"",""ObjectClass"":[""top"",""msExchSharingPolicy""],""ObjectState"":""Changed"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""WhenChanged"":""/Date(1645650766000)/"",""WhenChangedUTC"":""/Date(1645650766000)/"",""WhenCreated"":""/Date(1645650752000)/"",""WhenCreatedUTC"":""/Date(1645650752000)/""}","Get-SharingPolicy","EXO 2.6","Shall","Requirement met","Contact folders SHALL NOT be shared with all domains, although they MAY be shared with specific domains","True"
"{""AdminDisplayName"":"""",""DirectoryBasedEdgeBlockMode"":""Default"",""DistinguishedName"":""CN=Default,CN=Hosted Connection Filter,CN=Transport Settings,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""EnableSafeList"":false,""ExchangeObjectId"":""3843aef3-f3bd-49c1-a674-4d6741ac11b6"",""ExchangeVersion"":""0.20 (15.0.0.0)"",""Guid"":""3843aef3-f3bd-49c1-a674-4d6741ac11b6"",""IPAllowList"":[],""IPBlockList"":[],""Id"":""Default"",""Identity"":""Default"",""IsDefault"":true,""IsValid"":true,""Name"":""Default"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Hosted-Connection-Filter-Policy"",""ObjectClass"":[""top"",""msExchHostedConnectionFilterPolicy""],""ObjectState"":""Unchanged"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""WhenChanged"":""/Date(1645650840000)/"",""WhenChangedUTC"":""/Date(1645650840000)/"",""WhenCreated"":""/Date(1645650828000)/"",""WhenCreatedUTC"":""/Date(1645650828000)/""}","Get-HostedConnectionFilterPolicy","EXO 2.12","Should","Requirement met","IP allow lists SHOULD NOT be created","True"
"{""AdminDisplayName"":"""",""DirectoryBasedEdgeBlockMode"":""Default"",""DistinguishedName"":""CN=Default,CN=Hosted Connection Filter,CN=Transport Settings,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""EnableSafeList"":false,""ExchangeObjectId"":""3843aef3-f3bd-49c1-a674-4d6741ac11b6"",""ExchangeVersion"":""0.20 (15.0.0.0)"",""Guid"":""3843aef3-f3bd-49c1-a674-4d6741ac11b6"",""IPAllowList"":[],""IPBlockList"":[],""Id"":""Default"",""Identity"":""Default"",""IsDefault"":true,""IsValid"":true,""Name"":""Default"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Hosted-Connection-Filter-Policy"",""ObjectClass"":[""top"",""msExchHostedConnectionFilterPolicy""],""ObjectState"":""Unchanged"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""WhenChanged"":""/Date(1645650840000)/"",""WhenChangedUTC"":""/Date(1645650840000)/"",""WhenCreated"":""/Date(1645650828000)/"",""WhenCreatedUTC"":""/Date(1645650828000)/""}","Get-HostedConnectionFilterPolicy","EXO 2.12","Should","Requirement met","Safe lists SHOULD NOT be enabled","True"
"{""AuditDisabled"":false,""DisplayName"":""tqhjy"",""Name"":""tqhjy.onmicrosoft.com""}","Get-OrganizationConfig","EXO 2.13","Shall","Requirement met","Mailbox auditing SHALL be enabled","True"
"{""domain"":""tqhjy.onmicrosoft.com"",""log"":[{""query_method"":""traditional"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query returned NXDomain""},{""query_method"":""DoH"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""DoH"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""traditional"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query returned NXDomain""},{""query_method"":""DoH"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""DoH"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""}],""rdata"":[]}","Get-ScubaDmarcRecords, Get-AcceptedDomain","EXO 2.4","Shall","1 of 1 agency domain(s) found in violation: tqhjy.onmicrosoft.com","A DMARC policy SHALL be published for every second-level domain","False"
"{""domain"":""tqhjy.onmicrosoft.com"",""log"":[{""query_method"":""traditional"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query returned NXDomain""},{""query_method"":""DoH"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""DoH"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""traditional"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query returned NXDomain""},{""query_method"":""DoH"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""DoH"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""}],""rdata"":[]}","Get-ScubaDmarcRecords, Get-AcceptedDomain","EXO 2.4","Shall","1 of 1 agency domain(s) found in violation: tqhjy.onmicrosoft.com","The DMARC message rejection option SHALL be ""p=reject""","False"
"{""domain"":""tqhjy.onmicrosoft.com"",""log"":[{""query_method"":""traditional"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query returned NXDomain""},{""query_method"":""DoH"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""DoH"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""traditional"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query returned NXDomain""},{""query_method"":""DoH"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""DoH"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""}],""rdata"":[]}","Get-ScubaDmarcRecords, Get-AcceptedDomain","EXO 2.4","Shall","1 of 1 agency domain(s) found in violation: tqhjy.onmicrosoft.com","The DMARC point of contact for aggregate reports SHALL include reports@dmarc.cyber.dhs.gov","False"
"{""domain"":""tqhjy.onmicrosoft.com"",""log"":[{""query_method"":""traditional"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query returned NXDomain""},{""query_method"":""DoH"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""DoH"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""traditional"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query returned NXDomain""},{""query_method"":""DoH"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""},{""query_method"":""DoH"",""query_name"":""_dmarc.onmicrosoft.com"",""query_result"":""Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand""}],""rdata"":[]}","Get-ScubaDmarcRecords, Get-AcceptedDomain","EXO 2.4","Should","Requirement met","An agency point of contact SHOULD be included for aggregate and/or failure reports","True"
,"Get-ScubaSpfRecords, Get-AcceptedDomain","EXO 2.2","Shall","Requirement met","An SPF policy(s) that designates only these addresses as approved senders SHALL be published","True"
"""*""","Get-RemoteDomain","EXO 2.1","Shall","1 remote domain(s) that allows automatic forwarding: *","Automatic forwarding to external domains SHALL be disabled","False"
,"","OneDrive 2.6","Shall/Not-Implemented","Currently cannot be checked automatically. See Onedrive Secure Configuration Baseline policy 2.6 for instructions on manual check","OneDrive Client Sync SHALL be restricted to the local domain","False"
,"","OneDrive 2.7","Shall/Not-Implemented","Currently cannot be checked automatically. See Onedrive Secure Configuration Baseline policy 2.7 for instructions on manual check","Legacy Authentication SHALL be blocked","False"
"[1,-1]","Get-SPOTenant, Get-PnPTenant","OneDrive 2.2","Should","Requirement met: Anyone links are disabled","An expiration date SHOULD be set for Anyone links","True"
"[1,2,2]","Get-SPOTenant, Get-PnPTenant","OneDrive 2.3","Should","Requirement met: Anyone links are disabled","Anyone link permissions SHOULD be limited to View","True"
,"Get-SPOTenant, Get-PnPTenant","OneDrive 2.4","Shall","Requirement not met","OneDrive Client for Windows SHALL be restricted to agency-Defined Domain(s)","False"
,"Get-SPOTenantSyncClientRestriction, Get-PnPTenantSyncClientRestriction","OneDrive 2.5","Shall","Requirement not met","OneDrive Client Sync SHALL only be allowed only within the local domain","False"
"{""AllowAnonymousMeetingParticipantsToAccessWhiteboards"":0,""AllowCommentsTextOnEmailEnabled"":true,""AllowDownloadingNonWebViewableFiles"":true,""AllowEditing"":true,""AllowEveryoneExceptExternalUsersClaimInPrivateSite"":true,""AllowGuestUserShareToUsersNotInSiteCollection"":false,""AllowOverrideForBlockUserInfoVisibility"":false,""AnyoneLinkTrackUsers"":false,""ApplyAppEnforcedRestrictionsToAdHocRecipients"":true,""AuthContextResilienceMode"":0,""BccExternalSharingInvitations"":false,""BccExternalSharingInvitationsList"":null,""BlockDownloadFileTypeIds"":[],""BlockDownloadFileTypePolicy"":false,""BlockDownloadLinksFileType"":1,""BlockSendLabelMismatchEmail"":false,""BlockUserInfoVisibility"":"""",""BlockUserInfoVisibilityInOneDrive"":0,""BlockUserInfoVisibilityInSharePoint"":0,""CommentsOnFilesDisabled"":false,""CommentsOnListItemsDisabled"":false,""CommentsOnSitePagesDisabled"":false,""CompatibilityRange"":""15,15"",""ConditionalAccessPolicy"":0,""ConditionalAccessPolicyErrorHelpLink"":"""",""ContentTypeSyncSiteTemplatesList"":[],""CoreDefaultLinkToExistingAccess"":false,""CoreDefaultShareLinkRole"":0,""CoreDefaultShareLinkScope"":-1,""CoreLoopDefaultSharingLinkRole"":0,""CoreLoopDefaultSharingLinkScope"":-1,""CoreLoopSharingCapability"":2,""CoreRequestFilesLinkEnabled"":false,""CoreRequestFilesLinkExpirationInDays"":-1,""CoreSharingCapability"":2,""CustomizedExternalSharingServiceUrl"":"""",""DefaultLinkPermission"":1,""DefaultOneDriveInformationBarrierMode"":""Explicit"",""DefaultSharingLinkType"":1,""DisableAddShortcutsToOneDrive"":false,""DisableBackToClassic"":false,""DisableCustomAppAuthentication"":true,""DisableListSync"":false,""DisableOutlookPSTVersionTrimming"":false,""DisablePersonalListCreation"":false,""DisableSpacesActivation"":false,""DisableVivaConnectionsAnalytics"":false,""DisabledModernListTemplateIds"":[],""DisabledWebPartIds"":null,""DisallowInfectedFileDownload"":false,""DisplayStartASiteOption"":true,""EmailAttestationReAuthDays"":30,""EmailAttestationRequired"":false,""EnableAIPIntegration"":false,""EnableAutoNewsDigest"":true,""EnableAzureADB2BIntegration"":false,""EnableGuestSignInAcceleration"":false,""EnableMinimumVersionRequirement"":true,""EnablePromotedFileHandlers"":true,""EnableRestrictedAccessControl"":false,""ExcludedBlockDownloadGroupIds"":[],""ExternalServicesEnabled"":true,""ExternalUserExpirationRequired"":false,""ExternalUserExpireInDays"":60,""FileAnonymousLinkType"":2,""FilePickerExternalImageSearchEnabled"":true,""FolderAnonymousLinkType"":2,""HideSyncButtonOnTeamSite"":false,""IBImplicitGroupBased"":false,""IPAddressAllowList"":"""",""IPAddressEnforcement"":false,""IPAddressWACTokenLifetime"":15,""IncludeAtAGlanceInShareEmails"":true,""InformationBarriersSuspension"":true,""IsCollabMeetingNotesFluidEnabled"":true,""IsFluidEnabled"":true,""IsLoopEnabled"":true,""IsWBFluidEnabled"":true,""LabelMismatchEmailHelpLink"":null,""LegacyAuthProtocolsEnabled"":true,""LimitedAccessFileType"":1,""MarkNewFilesSensitiveByDefault"":0,""MediaTranscription"":0,""NoAccessRedirectUrl"":null,""NotificationsInOneDriveForBusinessEnabled"":true,""NotificationsInSharePointEnabled"":true,""NotifyOwnersWhenInvitationsAccepted"":true,""NotifyOwnersWhenItemsReshared"":true,""ODBAccessRequests"":0,""ODBMembersCanShare"":0,""OfficeClientADALDisabled"":false,""OneDriveDefaultLinkToExistingAccess"":false,""OneDriveDefaultShareLinkRole"":0,""OneDriveDefaultShareLinkScope"":-1,""OneDriveForGuestsEnabled"":false,""OneDriveLoopDefaultSharingLinkRole"":0,""OneDriveLoopDefaultSharingLinkScope"":-1,""OneDriveLoopSharingCapability"":1,""OneDriveRequestFilesLinkEnabled"":false,""OneDriveRequestFilesLinkExpirationInDays"":-1,""OneDriveSharingCapability"":1,""OneDriveStorageQuota"":1048576,""OrphanedPersonalSitesRetentionPeriod"":30,""OwnerAnonymousNotification"":true,""PermissiveBrowserFileHandlingOverride"":false,""PreventExternalUsersFromResharing"":true,""ProvisionSharedWithEveryoneFolder"":false,""PublicCdnAllowedFileTypes"":""CSS,EOT,GIF,ICO,JPEG,JPG,JS,MAP,PNG,SVG,TTF,WOFF"",""PublicCdnEnabled"":false,""PublicCdnOrigins"":[],""ReduceTempTokenLifetimeEnabled"":false,""ReduceTempTokenLifetimeValue"":15,""RequireAcceptingAccountMatchInvitedAccount"":true,""RequireAnonymousLinksExpireInDays"":-1,""ResourceQuota"":0,""ResourceQuotaAllocated"":0,""SearchResolveExactEmailOrUPN"":false,""SharingAllowedDomainList"":null,""SharingBlockedDomainList"":null,""SharingCapability"":2,""SharingDomainRestrictionMode"":0,""ShowAllUsersClaim"":false,""ShowEveryoneClaim"":false,""ShowEveryoneExceptExternalUsersClaim"":true,""ShowOpenInDesktopOptionForSyncedFiles"":false,""ShowPeoplePickerGroupSuggestionsForIB"":false,""ShowPeoplePickerSuggestionsForGuestUsers"":false,""SignInAccelerationDomain"":"""",""SocialBarOnSitePagesDisabled"":false,""SpecialCharactersStateInFileFolderNames"":1,""StartASiteFormUrl"":null,""StopNew2010Workflows"":false,""StopNew2013Workflows"":false,""StorageQuota"":1304576,""StorageQuotaAllocated"":0,""StreamLaunchConfig"":0,""SyncPrivacyProfileProperties"":true,""TlsTokenBindingPolicyValue"":0,""UseFindPeopleInPeoplePicker"":false,""UsePersistentCookiesForExplorerView"":false,""UserVoiceForFeedbackEnabled"":true,""ViewInFileExplorerEnabled"":false,""ViewersCanCommentOnMediaDisabled"":false,""Workflow2010Disabled"":true,""Workflows2013State"":2}","Get-SPOTenant, Get-PnPTenant","OneDrive 2.1","Should","Requirement met","Anyone links SHOULD be disabled","True"
,"","Power Platform 2.3","Should/Not-Implemented","Currently cannot be checked automatically. See Power Platform Secure Configuration Baseline policy 2.3 for instructions on manual check","An inbound/outbound connection allowlist SHOULD be configured","False"
,"","Power Platform 2.4","Shall/Not-Implemented","Currently cannot be checked automatically. See Power Platform Secure Configuration Baseline policy 2.4 for instructions on manual check","Content security policies for model-driven Power Apps SHALL be enabled","False"
,"Get-DlpPolicy","Power Platform 2.2","Shall","No policy found that applies to default environment","A DLP policy SHALL be created to restrict connector access in the default Power Platform environment","False"
"1","Get-SPOTenant, Get-PnPTenant","Sharepoint 2.1","Shall","Requirement met","File and folder links default sharing setting SHALL be set to ""Specific People (Only the People the User Specifies)""","True"
