"Control ID","Requirement","Result","Criticality","Details","OmittedEvaluationResult","OmittedEvaluationDetails","IncorrectResult","IncorrectResultDetails","OriginalResult","OriginalDetails","Comments","ResolutionDate"
"MS.DEFENDER.2.2v1","Domain impersonation protection SHOULD be enabled for domains owned by the agency in both the standard and strict preset policies.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/configuration.md#defender-configuration' target='_blank' class='indicator indicator-requires-config' title='Requires Configuration'>Requires Configuration</a></div>","Warning","Should","Not all agency domains are included for targeted protection in Strict or Standard policy.","N/A","N/A","N/A","N/A","Warning","Not all agency domains are included for targeted protection in Strict or Standard policy.","System.Object[]",
"MS.DEFENDER.2.3v1","Domain impersonation protection SHOULD be added for key suppliers and partners in both the standard and strict preset policies.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/configuration.md#defender-configuration' target='_blank' class='indicator indicator-requires-config' title='Requires Configuration'>Requires Configuration</a></div>","Warning","Should","Not all partner domains are included for targeted protection in Strict or Standard policy.","N/A","N/A","N/A","N/A","Warning","Not all partner domains are included for targeted protection in Strict or Standard policy.","System.Object[]",
"MS.DEFENDER.3.1v1","Safe attachments SHOULD be enabled for SharePoint, OneDrive, and Microsoft Teams.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.DEFENDER.4.1v2","A custom policy SHALL be configured to protect PII and sensitive information, as defined by the agency, blocking at a minimum: credit card numbers, U.S. Individual Taxpayer Identification Numbers (ITIN), and U.S. Social Security numbers (SSN).<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.DEFENDER.4.2v1","The custom policy SHOULD be applied to Exchange, OneDrive, SharePoint, Teams chat, and Devices.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Warning","Should","DLP custom policy applied to the following locations: Exchange, OneDrive, SharePoint, Teams. Custom policy protecting sensitive info types NOT applied to: Devices. Devices location requires DLP for Endpoint licensing and at least one registered device. For full policy details, see the ActualValue field in the results file: ./TestResults.json","N/A","N/A","N/A","N/A","Warning","DLP custom policy applied to the following locations: Exchange, OneDrive, SharePoint, Teams. Custom policy protecting sensitive info types NOT applied to: Devices. Devices location requires DLP for Endpoint licensing and at least one registered device. For full policy details, see the ActualValue field in the results file: ./TestResults.json","System.Object[]",
"MS.DEFENDER.4.3v1","The action for the custom policy SHOULD be set to block sharing sensitive information with everyone.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.DEFENDER.4.4v1","Notifications to inform users and help educate them on the proper use of sensitive information SHOULD be enabled in the custom policy.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.DEFENDER.4.5v1","A list of apps that are restricted from accessing files protected by DLP policy SHOULD be defined.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender45v1-instructions' target='_blank' class='indicator indicator-manual' title='Manual'>Manual</a></div>","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender45v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender45v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",
"MS.DEFENDER.4.6v1","The custom policy SHOULD include an action to block access to sensitive information by restricted apps and unwanted Bluetooth applications.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender46v1-instructions' target='_blank' class='indicator indicator-manual' title='Manual'>Manual</a></div>","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender46v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender46v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",
"MS.DEFENDER.5.1v1","At a minimum, the alerts required by the CISA M365 Secure Configuration Baseline for Exchange Online SHALL be enabled.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.DEFENDER.5.2v1","The alerts SHOULD be sent to a monitored address or incorporated into a Security Information and Event Management (SIEM).<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender52v1-instructions' target='_blank' class='indicator indicator-manual' title='Manual'>Manual</a></div>","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender52v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender52v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",
"MS.DEFENDER.6.1v1","Unified Audit logging SHALL be enabled.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.DEFENDER.6.3v1","Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender63v1-instructions' target='_blank' class='indicator indicator-manual' title='Manual'>Manual</a></div>","N/A","Shall/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender63v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/defender.md#msdefender63v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",
"MS.EXO.1.1v2","Automatic forwarding to external domains SHALL be disabled.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/configuration.md#automatic-forwarding-to-remote-domains' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Pass","Shall","No domains allow automatic forwarding.","N/A","N/A","N/A","N/A","Pass","No domains allow automatic forwarding.","System.Object[]",
"MS.EXO.2.2v3","An SPF policy SHALL be published for each domain that fails all non-approved senders.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/parameters.md#preferreddnsresolvers' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Pass","Shall","Requirement met. View DNS logs, #dns-logs for more details.","N/A","N/A","N/A","N/A","Pass","Requirement met. <a href=""#dns-logs"">View DNS logs</a> for more details.","System.Object[]",
"MS.EXO.3.1v1","DKIM SHOULD be enabled for all domains.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/parameters.md#preferreddnsresolvers' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Warning","Should","1 agency domain(s) found in violation: tqhjy.onmicrosoft.com. View DNS logs, #dns-logs for more details.","N/A","N/A","N/A","N/A","Warning","1 agency domain(s) found in violation: tqhjy.onmicrosoft.com. <a href=""#dns-logs"">View DNS logs</a> for more details.","System.Object[]",
"MS.EXO.4.1v1","A DMARC policy SHALL be published for every second-level domain.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/parameters.md#preferreddnsresolvers' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Pass","Shall","Requirement met. View DNS logs, #dns-logs for more details.","N/A","N/A","N/A","N/A","Pass","Requirement met. <a href=""#dns-logs"">View DNS logs</a> for more details.","System.Object[]",
"MS.EXO.4.2v1","The DMARC message rejection option SHALL be p=reject.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/parameters.md#preferreddnsresolvers' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Pass","Shall","Requirement met. View DNS logs, #dns-logs for more details.","N/A","N/A","N/A","N/A","Pass","Requirement met. <a href=""#dns-logs"">View DNS logs</a> for more details.","System.Object[]",
"MS.EXO.4.3v1","The DMARC point of contact for aggregate reports SHALL include `reports@dmarc.cyber.dhs.gov`.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/parameters.md#preferreddnsresolvers' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Pass","Shall","Requirement met. View DNS logs, #dns-logs for more details.","N/A","N/A","N/A","N/A","Pass","Requirement met. <a href=""#dns-logs"">View DNS logs</a> for more details.","System.Object[]",
"MS.EXO.4.4v1","An agency point of contact SHOULD be included for aggregate and failure reports.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/docs/configuration/parameters.md#preferreddnsresolvers' target='_blank' class='indicator indicator-configurable' title='Configurable'>Configurable</a></div>","Pass","Should","Requirement met. View DNS logs, #dns-logs for more details.","N/A","N/A","N/A","N/A","Pass","Requirement met. <a href=""#dns-logs"">View DNS logs</a> for more details.","System.Object[]",
"MS.EXO.5.1v1","SMTP AUTH SHALL be disabled.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.EXO.6.1v1","Contact folders SHALL NOT be shared with all domains.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.EXO.6.2v1","Calendar details SHALL NOT be shared with all domains.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.EXO.7.1v1","External sender warnings SHALL be implemented.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.EXO.13.1v1","Mailbox auditing SHALL be enabled.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/exo.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.POWERPLATFORM.1.1v1","The ability to create production and sandbox environments SHALL be restricted to admins.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.POWERPLATFORM.1.2v1","The ability to create trial environments SHALL be restricted to admins.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.POWERPLATFORM.2.1v1","A DLP policy SHALL be created to restrict connector access in the default Power Platform environment.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Fail","Shall","No policy found that applies to default environment","N/A","N/A","N/A","N/A","Fail","No policy found that applies to default environment","System.Object[]",
"MS.POWERPLATFORM.2.2v1","Non-default environments SHOULD have at least one DLP policy affecting them.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Warning","Should","No DLP policies found","N/A","N/A","N/A","N/A","Warning","No DLP policies found","System.Object[]",
"MS.POWERPLATFORM.3.1v1","Power Platform tenant isolation SHALL be enabled.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.POWERPLATFORM.3.2v1","An inbound/outbound connection allowlist SHOULD be configured.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#mspowerplatform32v1-instructions' target='_blank' class='indicator indicator-manual' title='Manual'>Manual</a></div>","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#mspowerplatform32v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#mspowerplatform32v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",
"MS.POWERPLATFORM.4.1v1","Content Security Policy (CSP) SHALL be enforced for model-driven and canvas Power Apps.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#mspowerplatform41v1-instructions' target='_blank' class='indicator indicator-manual' title='Manual'>Manual</a></div>","N/A","Shall/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#mspowerplatform41v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#mspowerplatform41v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",
"MS.POWERPLATFORM.5.1v1","The ability to create Power Pages sites SHOULD be restricted to admins.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.POWERPLATFORM.6.1v1","The Share with Everyone feature SHOULD be disabled.<div class='policy-indicators'><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/powerplatform.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.SHAREPOINT.1.1v1","External sharing for SharePoint SHALL be limited to ""Existing guests"" or ""Only people in your organization"".<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.SHAREPOINT.1.2v1","External sharing for OneDrive SHALL be limited to ""Existing guests"" or ""Only people in your organization"".<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.SHAREPOINT.1.3v1","External sharing SHALL be restricted to approved external domains and/or users in approved security groups per interagency collaboration needs.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","This policy is only applicable if the external sharing slider in the SharePoint admin center is not set to Only People In Your Organization. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#mssharepoint13v1 for more info","N/A","N/A","N/A","N/A","Pass","This policy is only applicable if the external sharing slider in the SharePoint admin center is not set to Only People In Your Organization. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#mssharepoint13v1"" target=""_blank"">Secure Configuration Baseline policy</a> for more info","System.Object[]",
"MS.SHAREPOINT.2.1v1","File and folder default sharing scope SHALL be set to ""Specific people (only the people the user specifies)"".<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.SHAREPOINT.2.2v1","File and folder default sharing permissions SHALL be set to view only.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",
"MS.SHAREPOINT.3.1v1","Expiration days for Anyone links SHALL be set to 30 days or less.<div class='policy-indicators'><a href='https://www.cisa.gov/news-events/directives/bod-25-01-implementation-guidance-implementing-secure-practices-cloud-services' target='_blank' class='indicator indicator-bod' title='BOD 25-01 Requirement'>BOD 25-01 Requirement</a><a href='https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#key-terminology' target='_blank' class='indicator indicator-automated' title='Automated Check'>Automated Check</a></div>","Pass","Shall","This policy is only applicable if the external sharing slider in the SharePoint admin center is set to Anyone. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#mssharepoint31v1 for more info","N/A","N/A","N/A","N/A","Pass","This policy is only applicable if the external sharing slider in the SharePoint admin center is set to Anyone. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.8.0/PowerShell/ScubaGear/baselines/sharepoint.md#mssharepoint31v1"" target=""_blank"">Secure Configuration Baseline policy</a> for more info","System.Object[]",
